timestep,entropy,kl_divergence,mutual_information
154,2.618318561194501,0.31061465593075943,0.06487552127582386
155,2.5702580867342677,0.3286657519024179,0.07170265771419371
156,2.557065982950225,0.27450806425440544,0.056387195731800066
157,2.494602358905887,0.20779259823082935,0.055340486735467875
158,2.5245959836014853,0.4383972105907848,0.06507440781089446
159,2.5209469329130374,0.24546005858247463,0.060323415322750984
160,2.581263983692218,0.258930165185951,0.054108313087870785
161,2.600911903780814,0.09742929668990147,0.04532972274667357
162,2.5631320250866434,0.3202653622685404,0.05281013669446066
163,2.5869606752612526,0.09505618214864946,0.04184255524786873
164,2.6168362464971766,0.11269335477719207,0.049595049346505826
165,2.649248191208854,0.09251878630981968,0.04232194041259407
166,2.6146472393503988,0.2992382982562828,0.055677856811438886
167,2.5914139179690636,0.38476658049400136,0.054225833917902255
168,2.5799476324349824,0.16910859960604474,0.04510476036705091
169,2.634027737189693,0.09754151608779316,0.045448588493411046
170,2.655114986132295,0.28267619078192807,0.06383896885705531
171,2.6446916939602416,0.24745737278358973,0.05840095598014483
172,2.6365725720271294,0.359008883788831,0.06435048842268598
173,2.641207841664083,0.2533786948793455,0.062308056006598944
174,2.6639358738630463,0.21943175570860407,0.047814192046903514
175,2.653203328803911,0.09460717619266536,0.04394289241928795
176,2.649819941538059,0.13901863024446548,0.053864463136271024
177,2.670940533537635,0.1474451670938842,0.06292436399977941
178,2.65945900123614,0.13063309289092884,0.059879058924944495
179,2.6604842072099757,0.44020809420955015,0.07123922476470268
180,2.652930969227449,0.4883371496840817,0.06259264232620043
181,2.6781271781831095,0.5902508885842855,0.0697790368411284
182,2.6976990151307185,0.28100389031398737,0.0619184206875818
183,2.6879343015844746,0.23783297068617923,0.05147438706798391
184,2.6489802168472605,0.22804715975919165,0.051075362211308706
185,2.6403539940406477,0.07289070798797509,0.03586331050077263
186,2.6675049779557654,0.05240565941984927,0.024973486479479945
187,2.659580038021879,0.04908736610953678,0.023676057165351372
188,2.6746284857048797,0.08051156092477463,0.0377486638974156
189,2.6876503015548097,0.20204420108094814,0.03958378112194061
190,2.675804325317115,0.1205418974114065,0.052357685261347875
191,2.6723843300469134,0.12744115479975804,0.05507587492217425
192,2.6782111585646105,0.11341336159242583,0.0482509731181604
193,2.720284221485415,0.25184706525785866,0.044955637682668304
194,2.6977171003637164,0.2663099036015566,0.050680197555823314
195,2.6903794254776967,0.3160026176237894,0.05592197255785325
196,2.6869340058727293,0.12263708234731813,0.052369157880835626
197,2.7317422336234327,0.3443722023108686,0.05896388291940746
198,2.7296028283370397,0.06916300350254524,0.03221913752945205
199,2.743504567928315,0.25963233981183653,0.044569489006473395
200,2.758467940465551,0.09558910556385403,0.04390380690467732
201,2.7492353796806004,0.10271062929698555,0.04757913638414668
202,2.7378314507555777,0.14500826018691676,0.05764312123041737
203,2.7081018444171354,0.34819753884232485,0.06212002106192149
204,2.699348228149713,0.23426608768650212,0.05357731157608869
205,2.667945794246311,0.0961248223153816,0.04195552161851368
206,2.6458378700243497,0.23407437070541315,0.049909867651114936
207,2.6550364144737957,0.16356281854382193,0.06164786763717367
208,2.6376804137294823,0.22384290209633173,0.05696785752250899
209,2.658326876694303,0.38119510702732484,0.0576346462730839
210,2.6705294165832516,0.44835651215864314,0.07177457685167599
211,2.7175849950113284,0.1027641498292764,0.045819318381137064
